"Name","Location","Data Type"
"DR1_Unk_StartStoryFromPointedLINFile","00417df0","undefined"
"DR1_MainMenuEnterOption","00422130","undefined"
"???_DebugCam3","004270d0","undefined"
"DR1_SetCameraDefaults","00428dd0","undefined"
"???_DebugCam2","00429e40","undefined"
"DR1_RelatedToDialougeAndReAction","004344d0","undefined"
"DR1_Unk_InitializeStuff","0043e280","undefined"
"DR1_GetIfAssetIsATGA","00452420","undefined"
"DR1_LoadRoomInitializer","00452950","undefined"
"DR1_LoadRoomWhenMouseHoverOverDoor","00455220","undefined"
"DR1_LoadRoom","00455360","undefined"
"???_DebugCam1","00456580","undefined"
"???_DebugRoomLoader","004685f0","undefined"
"???_DebugLoadObj","004692c0","undefined"
"???_DebugLoadChar","0046a320","undefined"
"DR1_SetUpClimax_Unk1","0046dab0","undefined"
"DR1_SetUpClimax_Unk2","0046dc60","undefined"
"DR1_SetUpClimax_Unk3","0046e020","undefined"
"DR1_LoadTrialImages","00475890","undefined"
"StubbedPrintFunction","00479f80","undefined"
"DR1_MasterFileLoader","004b41d0","undefined"
"PAD_Unk4","004e0a80","undefined"
"PAD_Unk3","004e0ab0","undefined"
"PAD_Unk2","004e0af0","undefined"
"PAD_UP_DOWN","004e0b10","undefined"
"PAD_LEFT_RIGHT","004e0b20","undefined"
"GlobalRoomID","00a8ad88","int"
"PTR_ForThe4SpecialRooms","009ed240","undefined *"
"PTR_ForAssetsEachRoomHas","009e0200","undefined *"
"gRoomID","00a8adf0","undefined4"
"gTrialID","009ed4b0","undefined4"
"gTrialPakFile","009ed4b4","undefined4"
"g_DR_CamFov_DEAD2","009f7f34","undefined4"
"gFrameTime","00a8fdec","undefined4"
"gLinEpisode","009f82c0","undefined2"
"gLinSubEpisode","009f82c2","undefined2"
"gLinSubSubEpisode","009f82c4","undefined2"
"gLinEpisode_2","009f82d2","undefined2"
"gLinSubEpisode_2","009f82d4","undefined2"
"gLinSubSubEpisode_2","009f82d6","undefined2"
"g_DR_CamX_Unk","00a8bec8","undefined4"
"g_DR_CamY_Unk","00a8becc","undefined4"
"g_DR_CamZ_Unk","00a8bed0","undefined4"
"g_DR_CamRotHor_Unk","00a8bed4","undefined4"
"g_DR_CamRotVert_Unk","00a8bed8","undefined4"
"g_DR_CamFov_Unk_(Dead_Value?)","00a8bedc","undefined4"
"g_DR_CamPosFromCenter_RoomMode_DEAD","009f7eec","undefined4"
"g_DR_CamYPos_RoomMode_DEAD","009f7ef0","undefined4"
"g_DR_RotZPos_RoomMode_DEAD","009f7ef4","undefined4"
"g_DR_CamFov_RoomMode_DEAD","009f7ef8","undefined4"
"g_DR_CamMovementBob","009f7f40","undefined4"
"g_DR_CamMov_Bob_AtualYPos","009f7f54","undefined4"
"g_DR_HowMuchLookUP_2Dand3D","009f7f14","undefined4"
"g_DR_HowMuchLookDOWN_2Dand3D","009f7f18","undefined4"
"g_DR_HowMuchLeftRotationAroundCenterPoint","009f7f0c","undefined4"
"g_DR_CamFov_REAL","009f7f30","undefined4"
"g_DR_CamMovBob_HowMuchPerCycle","009f7f44","undefined4"
"g_DR_HowMuchRightRotationAroundCenterPoint","009f7f10","undefined4"
"g_DR_RoomMode_CamYPos","009f7f24","undefined4"
"g_DR_HowMuchDistanceFromCenterPoint","009f7f68","undefined4"
"g_DR_CamCenterPointX","009f7e8c","undefined4"
"g_DR_CamCenterPointY","009f7e90","undefined4"
"g_DR_CamCenterPointZ","009f7e94","undefined4"
"g_DR_CamMov_Bob_Unk1","009f7f4c","undefined4"
"g_DR_CamMov_Bob_Unk3","009f7f58","undefined4"
"g_DR_CamMov_Bob_Unk4","009f7f5c","undefined4"
"g_DR_CamMov_Bob_Unk5","009f7f60","undefined4"
"g_DR_CamMov_Bob_Unk6","009f7f64","undefined4"
"g_DR_CamMovObj_Len_Unk","009f7efc","undefined4"
"g_DR_CamMovObj_RotZ_Unk","009f7f00","undefined4"
"g_DR_CamObjLook_FovWhenEnteringDoor","009f7f04","undefined4"
"g_DR_LimitXLeft_Unk","009f7f1c","undefined4"
"g_DR_LimitXRight_Unk","009f7f20","undefined4"
"g_DR_LimitZForward_Unk","009f7f28","undefined4"
"g_DR_LimitZBackward_Unk","009f7f2c","undefined4"
"g_DR_LimitLookRotation","009f7f08","undefined1"
"g_DR_RoomMode_0Freeroam_1Pivot","009f7e4c","undefined1"
"g_DR_ActualYPos","009f7ec8","undefined4"
"g_DR_ActualXPos","009f7ec4","undefined4"
"g_DR_ActualZPos","009f7ecc","undefined4"
