Namespace,Location,Name,Type
AgAllocator<(AgAllocatorTypes)1>,005f2e64,allocate,Function
AgAllocator<(AgAllocatorTypes)1>,005f2e7c,deallocate,Function
AgAllocator<(AgAllocatorTypes)1>,003914b0,allocate,Thunk Function
AgAllocator<(AgAllocatorTypes)1>,0039b040,deallocate,Thunk Function
AgClock,005f2f00,AgClock,Function
AgClock,005f2e8c,timeGetTime,Function
AgClock,005f2f0c,tick,Function
AgClock,005f2fd0,getTotalElapsedTime,Function
AgClock,005f2f08,setMaxElapsedFrameTime,Function
AgClock,005f2f58,getSystemTime,Function
AgClock,005f2f04,reset,Function
AgClock,0038bd20,tick,Thunk Function
AgClock,390320,getTotalElapsedTime,Thunk Function
AgClock,00390a50,setMaxElapsedFrameTime,Thunk Function
AgClock,003973f0,getSystemTime,Thunk Function
AgClock,0039c8f0,AgClock,Thunk Function
AgClock,0039c9a0,reset,Thunk Function
AgDRSaveDataDialogData,0062de98,~AgDRSaveDataDialogData,Function
AgIThreadHost,005f48c0,onDetachThread,Function
AgIThreadHost,881058,typeinfo-name,Data Label
AgIThreadHost,009a9b38,typeinfo,Data Label
AgLocalizationManager,005f3418,onSingletonExit,Function
AgLocalizationManager,005f3410,onSingletonInit,Function
AgLocalizationManager,005f31f8,~AgLocalizationManager,Function
AgLocalizationManager,005f32a4,loadLocalizationData,Function
AgLocalizationManager,005f344c,replaceString,Function
AgLocalizationManager,005f30dc,AgLocalizationManager,Function
AgLocalizationManager,005f3420,registerString,Function
AgLocalizationManager,005f32a0,setLanguageIndex,Function
AgLocalizationManager,005f3248,~AgLocalizationManager,Function
AgLocalizationManager,005f32a8,getStringById,Function
AgLocalizationManager,005f3408,getLanguageIndexForSystemLanguage,Function
AgLocalizationManager,392560,replaceString,Thunk Function
AgLocalizationManager,00395b30,registerString,Thunk Function
AgLocalizationManager,003963f0,setLanguageIndex,Thunk Function
AgLocalizationManager,0039a2b0,getStringById,Thunk Function
AgLocalizationManager,0039a6d0,AgLocalizationManager,Thunk Function
AgLocalizationManager,0039b5a0,getLanguageIndexForSystemLanguage,Thunk Function
AgLocalizationManager,00880fb0,typeinfo-name,Data Label
AgLocalizationManager,009a9a50,vtable,Data Label
AgLocalizationManager,009a9a80,typeinfo,Data Label
AgMath,00b31c28,ms_sinLUT,Data Label
AgPath,005f4720,getRelative,Function
AgPath,393210,getRelative,Thunk Function
