ID000_dummy.SPC            - UNUSED ROOM
ID001_sch_1F.SPC           - Floor 1 with the 3rd floor still not built
ID002_sch_2F.SPC           - Floor 2 with the 3rd floor still not built
ID003_sch_3F.SPC           - Floor 3 with tarp over the floor
ID004_sch_B1.SPC           - Floor -1
ID005_sch_4F.SPC           - Floor 4
ID006_sch_5F.SPC           - Floor 5
ID007_gym.SPC              - The gym at the start of the game and when Kokichi brings over weapons
ID008_gym_magic.SPC        - CH2 The gym during the magic show
ID010_cafe.SPC             - The cafetaria
ID014_shop.SPC             - The shop which I never visited once
ID015_warehousea.SPC       - The wearhouse with greenary at the start of the game
ID016_wc.SPC               - GIRL WC where you meet Miu Iruma in
ID017_classRoom_A.SPC      - A Classroom with blue motif
ID018_classRoom_B.SPC      - Actually first room in the game when you start and fall out of the locker
ID019_libA.SPC             - The library in the basemenet from the point near the stairs
ID020_libB.SPC             - Rantoro Dead room
ID021_libA.SPC             - CH6 room with the Headmaster door exploded
ID025_gam.SPC              - Gaming room where Tsumugi is homophobic
ID026_av.SPC               - Cinema Room
ID027_secretRoom_0.SPC     - CH6 Headmaster Room
ID028_secretRoom_1.SPC     - CH6 Headmaster Room with the Monokuma head expldoed
ID029_secret.SPC           - CH6 The passageway from the toilet to the headmaster room
ID030_classRoom_C.SPC      - A classroom with a pink motif
ID031_classRoom_C.SPC      - CH6 version of the same classroom with the exploded wall
ID032_cold.SPC             - CH6 room with the space like pods
ID034_wc.SPC               - BOYS WC
ID036_vacancy_00.SPC       - CH3 One of the empty ritual rooms
ID037_vacancy_01.SPC       - CH3 Tenko dead room
ID038_vacancy_02.SPC       - CH3 UNUSED? Duplicate of one of the empty ritual rooms
ID040_vacancy_01.SPC       - CH3 Room with statue on top of Tenko cage
ID041_vacancy_01.SPC       - CH3 Room under the floorboards
ID042_sch_1F.SPC           - CH1 Floor 1 Walk to the Gym without the exisals and wall still intact
ID043_sch_1F.SPC           - CH1 Floor 1 Where you get chased by the Exisals
ID044_sch_2F.SPC           - CH1 Floor 2... do you get chased by the Exisals here though?
ID045_sch_6F.SPC           - CH4 Spiral staircase to Kaito's Lab
ID050_sch_B1.SPC           - CH6 Floor -1 with rubble around to block you
ID051_sch_1F.SPC           - CH6 Floor 1 with rubble, has the broken hole in the first room you enter
ID052_sch_1F.SPC           - CH6 Floor 1 walk to gym with rubble
ID053_sch_2F.SPC           - CH6 Floor 2 with rubble
ID054_sch_3F.SPC           - CH6 Floor 3 with rubble
ID055_sch_4F.SPC           - CH6 Floor 4 with rubble
ID056_sch_5F.SPC           - CH6 Floor 5 with rubble
ID058_cave.SPC             - CH6 walkway where you have to destroy rock to get to some kind of bunker
ID060_warehousea.SPC       - Warehouse without greenary
ID061_classRoom_A.SPC      - CH6 Classroom A with the campus visible outside
ID062_classRoom_B.SPC      - CH6 Classroom B with the campus visible outside
ID063_classRoom_C.SPC      - CH6 Classroom C with the campus visible outside
ID070_sch_1F.SPC           - Floor 1 with F3 built and no greenary
ID071_sch_1F.SPC           - Floor 1 with Magician Lab wall unlocked and F3 built
ID072_sch_2F.SPC           - Floor 2 with no more statue and F3 built
ID073_sch_3F.SPC           - Floor 3 with Floor 4 door
ID074_sch_B1.SPC           - UNUSED? Duplicate of ID 004
